root,case,robots,control_hz,repeat,deadline_ms,attainment_percent
serving_capacity_20260917,r3_hz20_rep3,3,20.0,3,500,100.0
serving_capacity_20260917,r3_hz20_rep3,3,20.0,3,1000,100.0
serving_capacity_20260917,r3_hz20_rep4,3,20.0,4,156,0.0
serving_capacity_20260917,r3_hz20_rep4,3,20.0,4,200,33.333333333333336
serving_capacity_20260917,r3_hz20_rep4,3,20.0,4,250,53.333333333333336
serving_capacity_20260917,r3_hz20_rep4,3,20.0,4,500,100.0
serving_capacity_20260917,r3_hz20_rep4,3,20.0,4,1000,100.0
serving_capacity_20260917,r4_hz20_rep0,4,20.0,0,156,3.125
serving_capacity_20260917,r4_hz20_rep0,4,20.0,0,200,11.25
serving_capacity_20260917,r4_hz20_rep0,4,20.0,0,250,23.125
serving_capacity_20260917,r4_hz20_rep0,4,20.0,0,500,96.875
serving_capacity_20260917,r4_hz20_rep0,4,20.0,0,1000,100.0
serving_capacity_20260917,r4_hz20_rep1,4,20.0,1,156,1.875
serving_capacity_20260917,r4_hz20_rep1,4,20.0,1,200,10.625
serving_capacity_20260917,r4_hz20_rep1,4,20.0,1,250,24.375
serving_capacity_20260917,r4_hz20_rep1,4,20.0,1,500,95.0
serving_capacity_20260917,r4_hz20_rep1,4,20.0,1,1000,99.375
serving_capacity_20260917,r4_hz20_rep2,4,20.0,2,156,0.0
serving_capacity_20260917,r4_hz20_rep2,4,20.0,2,200,0.625
serving_capacity_20260917,r4_hz20_rep2,4,20.0,2,250,15.0
serving_capacity_20260917,r4_hz20_rep2,4,20.0,2,500,94.375
serving_capacity_20260917,r4_hz20_rep2,4,20.0,2,1000,99.375
serving_capacity_20260917,r4_hz20_rep3,4,20.0,3,156,0.0
serving_capacity_20260917,r4_hz20_rep3,4,20.0,3,200,12.5
serving_capacity_20260917,r4_hz20_rep3,4,20.0,3,250,33.125
serving_capacity_20260917,r4_hz20_rep3,4,20.0,3,500,99.375
serving_capacity_20260917,r4_hz20_rep3,4,20.0,3,1000,100.0
serving_capacity_20260917,r4_hz20_rep4,4,20.0,4,156,1.875
serving_capacity_20260917,r4_hz20_rep4,4,20.0,4,200,11.875
serving_capacity_20260917,r4_hz20_rep4,4,20.0,4,250,39.375
serving_capacity_20260917,r4_hz20_rep4,4,20.0,4,500,100.0
serving_capacity_20260917,r4_hz20_rep4,4,20.0,4,1000,100.0
serving_capacity_20260917,r6_hz20_rep0,6,20.0,0,156,0.0
serving_capacity_20260917,r6_hz20_rep0,6,20.0,0,200,0.0
serving_capacity_20260917,r6_hz20_rep0,6,20.0,0,250,5.416666666666667
serving_capacity_20260917,r6_hz20_rep0,6,20.0,0,500,41.25
serving_capacity_20260917,r6_hz20_rep0,6,20.0,0,1000,77.08333333333333
serving_capacity_20260917,r6_hz20_rep1,6,20.0,1,156,0.0
serving_capacity_20260917,r6_hz20_rep1,6,20.0,1,200,0.4166666666666667
serving_capacity_20260917,r6_hz20_rep1,6,20.0,1,250,5.833333333333333
serving_capacity_20260917,r6_hz20_rep1,6,20.0,1,500,38.333333333333336
serving_capacity_20260917,r6_hz20_rep1,6,20.0,1,1000,76.25
serving_capacity_20260917,r6_hz20_rep2,6,20.0,2,156,0.0
serving_capacity_20260917,r6_hz20_rep2,6,20.0,2,200,0.0
serving_capacity_20260917,r6_hz20_rep2,6,20.0,2,250,2.9166666666666665
serving_capacity_20260917,r6_hz20_rep2,6,20.0,2,500,35.416666666666664
serving_capacity_20260917,r6_hz20_rep2,6,20.0,2,1000,73.33333333333333
serving_capacity_20260917,r6_hz20_rep3,6,20.0,3,156,0.0
serving_capacity_20260917,r6_hz20_rep3,6,20.0,3,200,0.0
serving_capacity_20260917,r6_hz20_rep3,6,20.0,3,250,3.75
serving_capacity_20260917,r6_hz20_rep3,6,20.0,3,500,42.083333333333336
serving_capacity_20260917,r6_hz20_rep3,6,20.0,3,1000,77.5
serving_capacity_20260917,r6_hz20_rep4,6,20.0,4,156,0.0
serving_capacity_20260917,r6_hz20_rep4,6,20.0,4,200,0.0
serving_capacity_20260917,r6_hz20_rep4,6,20.0,4,250,10.0
serving_capacity_20260917,r6_hz20_rep4,6,20.0,4,500,41.666666666666664
serving_capacity_20260917,r6_hz20_rep4,6,20.0,4,1000,76.25
serving_capacity_20260917,r8_hz20_rep0,8,20.0,0,156,0.0
serving_capacity_20260917,r8_hz20_rep0,8,20.0,0,200,0.0
serving_capacity_20260917,r8_hz20_rep0,8,20.0,0,250,0.9375
serving_capacity_20260917,r8_hz20_rep0,8,20.0,0,500,26.25
serving_capacity_20260917,r8_hz20_rep0,8,20.0,0,1000,54.0625
serving_capacity_20260917,r8_hz20_rep1,8,20.0,1,156,0.0
serving_capacity_20260917,r8_hz20_rep1,8,20.0,1,200,0.0
serving_capacity_20260917,r8_hz20_rep1,8,20.0,1,250,5.9375
serving_capacity_20260917,r8_hz20_rep1,8,20.0,1,500,33.125
serving_capacity_20260917,r8_hz20_rep1,8,20.0,1,1000,58.125
serving_capacity_20260917,r8_hz20_rep2,8,20.0,2,156,0.0
serving_capacity_20260917,r8_hz20_rep2,8,20.0,2,200,0.0
serving_capacity_20260917,r8_hz20_rep2,8,20.0,2,250,2.8125
serving_capacity_20260917,r8_hz20_rep2,8,20.0,2,500,30.0
serving_capacity_20260917,r8_hz20_rep2,8,20.0,2,1000,56.25
serving_capacity_20260917,r8_hz20_rep3,8,20.0,3,156,0.0
serving_capacity_20260917,r8_hz20_rep3,8,20.0,3,200,0.0
serving_capacity_20260917,r8_hz20_rep3,8,20.0,3,250,2.5
serving_capacity_20260917,r8_hz20_rep3,8,20.0,3,500,27.5
serving_capacity_20260917,r8_hz20_rep3,8,20.0,3,1000,55.9375
serving_capacity_20260917,r8_hz20_rep4,8,20.0,4,156,0.0
serving_capacity_20260917,r8_hz20_rep4,8,20.0,4,200,0.0
serving_capacity_20260917,r8_hz20_rep4,8,20.0,4,250,3.125
serving_capacity_20260917,r8_hz20_rep4,8,20.0,4,500,30.3125
serving_capacity_20260917,r8_hz20_rep4,8,20.0,4,1000,57.5
serving_capacity_boundary_20260917,r5_hz20_rep0,5,20.0,0,156,0.0
serving_capacity_boundary_20260917,r5_hz20_rep0,5,20.0,0,200,0.0
serving_capacity_boundary_20260917,r5_hz20_rep0,5,20.0,0,250,6.5
serving_capacity_boundary_20260917,r5_hz20_rep0,5,20.0,0,500,53.0
serving_capacity_boundary_20260917,r5_hz20_rep0,5,20.0,0,1000,92.0
serving_capacity_boundary_20260917,r5_hz20_rep1,5,20.0,1,156,0.0
serving_capacity_boundary_20260917,r5_hz20_rep1,5,20.0,1,200,0.0
serving_capacity_boundary_20260917,r5_hz20_rep1,5,20.0,1,250,4.5
serving_capacity_boundary_20260917,r5_hz20_rep1,5,20.0,1,500,58.0
serving_capacity_boundary_20260917,r5_hz20_rep1,5,20.0,1,1000,91.5
serving_capacity_boundary_20260917,r5_hz20_rep2,5,20.0,2,156,0.0
serving_capacity_boundary_20260917,r5_hz20_rep2,5,20.0,2,200,0.0
serving_capacity_boundary_20260917,r5_hz20_rep2,5,20.0,2,250,3.0
serving_capacity_boundary_20260917,r5_hz20_rep2,5,20.0,2,500,54.5
serving_capacity_boundary_20260917,r5_hz20_rep2,5,20.0,2,1000,92.0
serving_capacity_boundary_20260917,r5_hz20_rep3,5,20.0,3,156,0.0
serving_capacity_boundary_20260917,r5_hz20_rep3,5,20.0,3,200,0.0
serving_capacity_boundary_20260917,r5_hz20_rep3,5,20.0,3,250,1.0
serving_capacity_boundary_20260917,r5_hz20_rep3,5,20.0,3,500,54.0
serving_capacity_boundary_20260917,r5_hz20_rep3,5,20.0,3,1000,93.0
serving_capacity_boundary_20260917,r5_hz20_rep4,5,20.0,4,156,0.0
serving_capacity_boundary_20260917,r5_hz20_rep4,5,20.0,4,200,0.0
serving_capacity_boundary_20260917,r5_hz20_rep4,5,20.0,4,250,4.5
serving_capacity_boundary_20260917,r5_hz20_rep4,5,20.0,4,500,54.5
serving_capacity_boundary_20260917,r5_hz20_rep4,5,20.0,4,1000,93.5
serving_slo_actions_20260917,r1_hz10_rep0,1,10.0,0,156,0.0
serving_slo_actions_20260917,r1_hz10_rep0,1,10.0,0,200,75.0
