batch_size,index,action_step,kernel_union_ms,activity_union_ms,copy_union_ms,kernel_count
4,8,4,4.975561,5.664041,0.68848,608
4,8,5,4.972902,5.658505,0.685603,608
4,8,6,4.973513,5.661353,0.68784,608
4,8,7,4.882856,5.564392,0.681536,608
4,8,8,4.854246,5.53748,0.683234,608
4,8,9,4.855656,5.538633,0.682977,608
4,9,0,5.113832,5.806377,0.692545,608
4,9,1,5.099623,5.793128,0.693505,608
4,9,2,5.079622,5.768583,0.688961,608
4,9,3,5.082759,5.773097,0.690338,608
4,9,4,5.08375,5.773448,0.689698,608
4,9,5,4.917383,5.602952,0.685569,608
4,9,6,4.920967,5.605064,0.684097,608
4,9,7,4.919974,5.606408,0.686434,608
4,9,8,4.881,5.564648,0.683648,608
4,9,9,4.833864,5.516744,0.68288,608
5,0,0,5.110115,5.816932,0.706817,626
5,0,1,5.105121,5.808932,0.703811,626
5,0,2,5.107623,5.812743,0.70512,626
5,0,3,5.012583,5.713095,0.700512,626
5,0,4,5.001926,5.702151,0.700225,626
5,0,5,4.995591,5.695464,0.699873,626
5,0,6,4.946887,5.645639,0.698752,626
5,0,7,4.883814,5.577255,0.693441,626
5,0,8,4.880038,5.576391,0.696353,626
5,0,9,4.876518,5.571142,0.694624,626
5,1,0,5.106502,5.810822,0.70432,626
5,1,1,5.092515,5.796356,0.703841,626
5,1,2,5.085029,5.787077,0.702048,626
5,1,3,5.085601,5.788353,0.702752,626
5,1,4,5.082461,5.784895,0.702434,626
5,1,5,4.944004,5.643269,0.699265,626
5,1,6,4.926469,5.62391,0.697441,626
5,1,7,4.923557,5.621286,0.697729,626
5,1,8,4.878151,5.571271,0.69312,626
5,1,9,4.877606,5.572294,0.694688,626
5,2,0,5.105893,5.811847,0.705954,626
5,2,1,5.103743,5.807968,0.704225,626
5,2,2,5.086595,5.792067,0.705472,626
5,2,3,5.025092,5.725797,0.700705,626
5,2,4,5.028036,5.727844,0.699808,626
5,2,5,5.027045,5.729702,0.702657,626
5,2,6,4.892387,5.587076,0.694689,626
5,2,7,4.890982,5.585766,0.694784,626
5,2,8,4.890183,5.585672,0.695489,626
5,2,9,4.881507,5.576644,0.695137,626
5,3,0,5.103586,5.808579,0.704993,626
5,3,1,5.100449,5.804867,0.704418,626
5,3,2,5.101888,5.806528,0.70464,626
5,3,3,5.008357,5.708453,0.700096,626
5,3,4,5.009538,5.710819,0.701281,626
5,3,5,5.012257,5.713027,0.70077,626
5,3,6,4.93863,5.63671,0.69808,626
5,3,7,4.886822,5.582182,0.69536,626
5,3,8,4.8905,5.586311,0.695811,626
5,3,9,4.873542,5.569542,0.696,626
5,4,0,5.112448,5.817025,0.704577,626
5,4,1,5.111842,5.817923,0.706081,626
5,4,2,5.099264,5.804768,0.705504,626
5,4,3,5.106241,5.809058,0.702817,626
5,4,4,5.016899,5.720004,0.703105,626
5,4,5,4.93466,5.631493,0.696833,626
5,4,6,4.938211,5.636484,0.698273,626
5,4,7,4.922405,5.619238,0.696833,626
5,4,8,4.86743,5.560838,0.693408,626
5,4,9,4.863779,5.557606,0.693827,626
5,5,0,5.107266,5.811202,0.703936,626
5,5,1,5.106788,5.81098,0.704192,626
5,5,2,5.07607,5.779366,0.703296,626
5,5,3,5.016676,5.716229,0.699553,626
5,5,4,5.014086,5.714535,0.700449,626
5,5,5,5.02218,5.725381,0.703201,626
5,5,6,4.952199,5.649383,0.697184,626
5,5,7,4.891302,5.587079,0.695777,626
5,5,8,4.892838,5.587271,0.694433,626
5,5,9,4.866694,5.562022,0.695328,626
5,6,0,5.106756,5.811652,0.704896,626
5,6,1,5.115811,5.821956,0.706145,626
5,6,2,5.114271,5.819968,0.705697,626
5,6,3,5.110439,5.814728,0.704289,626
5,6,4,4.969187,5.668164,0.698977,626
5,6,5,4.95815,5.655271,0.697121,626
5,6,6,4.969159,5.671495,0.702336,626
5,6,7,4.90884,5.60468,0.69584,626
5,6,8,4.883779,5.579111,0.695332,626
5,6,9,4.88311,5.579462,0.696352,626
5,7,0,5.111747,5.817284,0.705537,626
5,7,1,5.105919,5.811872,0.705953,626
5,7,2,5.106145,5.813249,0.707104,626
5,7,3,5.106493,5.808286,0.701793,626
5,7,4,5.03306,5.735716,0.702656,626
5,7,5,4.948359,5.644583,0.696224,626
5,7,6,4.944485,5.643431,0.698946,626
5,7,7,4.943303,5.641095,0.697792,626
5,7,8,4.855205,5.55031,0.695105,626
5,7,9,4.854629,5.547589,0.69296,626
5,8,0,5.120419,5.824996,0.704577,626
5,8,1,5.111331,5.817252,0.705921,626
5,8,2,5.093349,5.797766,0.704417,626
5,8,3,5.032452,5.734021,0.701569,626
5,8,4,5.027845,5.728582,0.700737,626
5,8,5,4.98746,5.687332,0.699872,626
5,8,6,4.895555,5.592837,0.697282,626
5,8,7,4.892485,5.586405,0.69392,626
5,8,8,4.898436,5.594021,0.695585,626
5,8,9,4.834278,5.530055,0.695777,626
5,9,0,5.11168,5.81549,0.70381,626
5,9,1,5.107648,5.815201,0.707553,626
5,9,2,5.11325,5.816067,0.702817,626
5,9,3,5.080645,5.783877,0.703232,626
5,9,4,4.962372,5.661796,0.699424,626
5,9,5,4.965634,5.664322,0.698688,626
5,9,6,4.960898,5.655654,0.694756,626
5,9,7,4.926662,5.626151,0.699489,626
5,9,8,4.870373,5.565541,0.695168,626
5,9,9,4.873445,5.567846,0.694401,626
