phase,batch_size,index,start,end,pid,full_ms,kernel_union_ms,kernel_sum_ms,activity_union_ms,no_recorded_cuda_ms,kernel_count,streams,vlm_embed_kernel_ms,vlm_embed_activity_ms,vlm_embed_copy_ms,vlm_prefill_kernel_ms,vlm_prefill_activity_ms,vlm_prefill_copy_ms,action_kernel_ms,action_activity_ms,action_copy_ms,vlm_mixed_kernel_ms,vlm_mixed_activity_ms,vlm_mixed_copy_ms,mixed_kernel_ms,mixed_activity_ms,mixed_copy_ms,unattributed_kernel_ms,unattributed_activity_ms,unattributed_copy_ms,copy_union_ms,copy_bytes,h2d_copy_ms,h2d_bytes,d2h_copy_ms,d2h_bytes,d2d_copy_ms,d2d_bytes,cross_stage_overlap_ms,host_sync_union_ms,action_loop_body_count
after_traced,3,8,26079267576,26340358754,344233475047424,261.091178,220.397212,220.66406,237.303973,23.787205,8132,5,30.052369,35.896373,5.7737,143.983151,148.188111,4.18448,46.323964,53.009441,6.685477,0.0,0.0,0.0,0.0,0.0136,0.0136,0.037728,0.196448,0.15872,16.815977,5673884876,0.148512,1358185,0.01744,8075,16.650025,5672518616,-2.842170943040401e-14,214.648,10
after_traced,3,9,26340758070,26602727433,344233475047424,261.969363,220.62041,220.88745,237.570276,24.39908699999998,8132,5,30.173586,36.022741,5.779075,144.127501,148.333327,4.18445,46.281755,52.968799,6.687044,0.0,0.0,0.0,0.0,0.013505,0.013505,0.037568,0.231904,0.194336,16.85841,5673884876,0.184224,1358185,0.017281,8075,16.656905,5672518616,-2.842170943040401e-14,214.950831,10
after_traced,2,0,26603126960,26814195630,344233475047424,211.06867,169.68127,169.85643800000003,186.493888,24.574782,7967,5,21.940271,27.777329,5.769026,100.947127,105.12265,4.156259,46.765168,53.400437,6.635269,0.0,0.0,0.0,0.0,0.011936,0.011936,0.028704,0.181536,0.152832,16.725322,5673429473,0.142944,905470,0.015712,5387,16.566666,5672518616,-2.842170943040401e-14,163.368899,10
after_traced,2,1,26814572467,27035103309,344233475047424,220.530842,169.937046,170.109398,186.7656,33.765242,7967,5,22.537357,28.397616,5.783427,100.634904,104.817979,4.163939,46.736465,53.370421,6.633956,0.0,0.0,0.0,0.0,0.012,0.012,0.02832,0.167584,0.139264,16.732586,5673429473,0.129216,905470,0.015744,5387,16.587626,5672518616,0.0,162.956214,10
after_traced,2,2,27035502576,27248057290,344233475047424,212.554714,169.98325,170.155058,186.818048,25.736665999999985,7967,5,22.485708,28.339184,5.784516,100.730391,104.91129,4.161891,46.739151,53.375893,6.636742,0.0,0.0,0.0,0.0,0.012128,0.012128,0.028,0.179553,0.151553,16.74683,5673429473,0.141472,905470,0.015968,5387,16.58939,5672518616,-2.842170943040401e-14,163.967379,10
after_traced,2,3,27248456561,27462700440,344233475047424,214.243879,170.205811,170.37499499999998,187.04566,27.198218999999995,7967,5,22.494252,28.344591,5.781411,100.746615,104.927799,4.161216,46.936144,53.577878,6.641734,0.0,0.0,0.0,0.0,0.012576,0.012576,0.0288,0.182816,0.154016,16.750953,5673429473,0.143136,905470,0.017248,5387,16.590569,5672518616,0.0,156.621326,10
after_traced,2,4,27463205062,27689516394,344233475047424,226.311332,171.365587,171.53105900000003,188.232609,38.078723,7967,5,23.426158,29.300625,5.792771,101.12027,105.304053,4.159527,46.789879,53.429275,6.639396,0.0,0.0,0.0,0.0,0.013344,0.013344,0.02928,0.185312,0.156032,16.76107,5673429473,0.145504,905470,0.017472,5387,16.598094,5672518616,0.0,151.561659,10
after_traced,2,5,27690004290,27913021243,344233475047424,223.016953,169.815896,169.989176,186.656769,36.360184000000004,7967,5,22.128908,27.986193,5.776037,100.910359,105.0918,4.158497,46.747925,53.382616,6.634691,0.0,0.0,0.0,0.0,0.011936,0.011936,0.028704,0.184224,0.15552,16.736681,5673429473,0.145632,905470,0.01568,5387,16.575369,5672518616,-2.842170943040401e-14,154.60422,10
after_traced,2,6,27913470397,28138100011,344233475047424,224.629614,170.086347,170.257899,186.916283,37.71333100000001,7967,5,21.87236,27.720977,5.776585,101.353971,105.53388,4.160709,46.831312,53.467826,6.636514,0.0,0.0,0.0,0.0,0.012288,0.012288,0.028704,0.181312,0.152608,16.738704,5673429473,0.142688,905470,0.01616,5387,16.579856,5672518616,0.0,151.295348,10
after_traced,2,7,28138573206,28359153605,344233475047424,220.580399,170.091269,170.262437,186.892048,33.68835100000001,7967,5,22.025036,27.853968,5.758852,101.241903,105.426096,4.161601,46.795754,53.433936,6.638182,0.0,0.0,0.0,0.0,0.013056,0.013056,0.028576,0.164992,0.136416,16.708107,5673429473,0.126304,905470,0.01712,5387,16.564683,5672518616,2.842170943040401e-14,152.191673,10
after_traced,2,8,28359675908,28579216416,344233475047424,219.540508,169.934541,170.108493,186.741301,32.799206999999996,7967,5,21.884235,27.725902,5.763715,101.160333,105.338799,4.159074,46.861205,53.497848,6.636643,0.0,0.0,0.0,0.0,0.012096,0.012096,0.028768,0.166656,0.137888,16.709416,5673429473,0.127648,905470,0.016192,5387,16.565576,5672518616,0.0,161.638983,10
after_traced,2,9,28579572602,28789689510,344233475047424,210.116908,169.776161,169.950465,186.598057,23.518850999999984,7967,5,21.866827,27.701582,5.765315,101.054092,105.232653,4.159233,46.826538,53.467726,6.641188,0.0,0.0,0.0,0.0,0.012032,0.012032,0.028704,0.184064,0.15536,16.733128,5673429473,0.145024,905470,0.01616,5387,16.571944,5672518616,0.0,164.212555,10
after_traced,1,0,28790023673,28931063053,344233475047424,141.03938,100.648778,100.760234,117.353555,23.685824999999994,6569,5,14.742918,20.384778,5.64186,51.056794,55.287485,4.230691,34.730346,41.46318,6.732834,0.097824,0.097824,0.0,0.0,0.012448,0.012448,0.020896,0.10784,0.086944,16.704777,5673121526,0.078048,452755,0.015872,2699,16.610857,5672666072,1.4210854715202004e-14,95.632924,10
after_traced,1,1,28931349607,29074980196,344233475047424,143.630589,100.616714,100.73009099999999,117.312915,26.317673999999982,6569,5,14.829224,20.475562,5.646338,51.026587,55.253373,4.226786,34.642311,41.366891,6.72458,0.0976,0.0976,0.0,0.0,0.012,0.012,0.020992,0.107489,0.086497,16.696201,5673121526,0.077216,452755,0.015809,2699,16.603176,5672666072,1.4210854715202004e-14,93.213196,10
after_traced,1,2,29075291112,29222211145,344233475047424,146.920033,101.338564,101.450756,118.05,28.870032999999992,6569,5,15.002534,20.650315,5.647781,51.52889,55.764445,4.235555,34.687876,41.415624,6.727748,0.098016,0.098016,0.0,0.0,0.011488,0.011488,0.021248,0.110112,0.088864,16.711436,5673121526,0.079872,452755,0.014944,2699,16.61662,5672666072,1.4210854715202004e-14,95.650058,10
after_traced,1,3,29222555737,29365220348,344233475047424,142.664611,100.902703,101.01502300000001,117.60543,25.05918100000001,6569,5,15.047782,20.693898,5.646116,51.085531,55.315677,4.230146,34.64987,41.377231,6.727361,0.098144,0.098144,0.0,0.0,0.011488,0.011488,0.021376,0.108992,0.087616,16.702727,5673121526,0.078624,452755,0.014976,2699,16.609127,5672666072,1.4210854715202004e-14,95.149701,10
after_traced,1,4,29365509157,29505041151,344233475047424,139.531994,100.672458,100.78449,117.38034,22.151653999999994,6569,5,14.841289,20.483915,5.642626,51.059675,55.292476,4.232801,34.652006,41.382509,6.730503,0.097984,0.097984,0.0,0.0,0.011456,0.011456,0.021504,0.112,0.090496,16.707882,5673121526,0.081056,452755,0.015328,2699,16.611498,5672666072,-1.4210854715202004e-14,95.39767,10
after_traced,1,5,29505323539,29645998531,344233475047424,140.674992,101.450702,101.56295800000001,118.176339,22.498653000000004,6569,5,15.233032,20.885705,5.652673,51.418204,55.653245,4.235041,34.679114,41.415789,6.736675,0.098752,0.098752,0.0,0.0,0.011744,0.011744,0.0216,0.111104,0.089504,16.725637,5673121526,0.080224,452755,0.015232,2699,16.630181,5672666072,-1.4210854715202004e-14,96.300476,10
after_traced,1,6,29646265426,29786874680,344233475047424,140.609254,101.447685,101.55779700000001,118.171407,22.43784699999999,6569,5,15.224293,20.877097,5.652804,51.380186,55.614525,4.234339,34.723398,41.460425,6.737027,0.098464,0.098464,0.0,0.0,0.011936,0.011936,0.021344,0.10896,0.087616,16.723722,5673121526,0.078304,452755,0.015424,2699,16.629994,5672666072,1.4210854715202004e-14,95.174728,10
after_traced,1,7,29787131958,29933775833,344233475047424,146.643875,100.924077,101.036589,117.630483,29.01339200000001,6569,5,14.938859,20.580619,5.64176,51.111385,55.339261,4.227876,34.754281,41.492907,6.738626,0.0984,0.0984,0.0,0.0,0.012032,0.012032,0.021152,0.107264,0.086112,16.706406,5673121526,0.076928,452755,0.015712,2699,16.613766,5672666072,1.4210854715202004e-14,91.180311,10
after_traced,1,8,29934085369,30077172402,344233475047424,143.087033,100.893065,101.005865,117.592595,25.494437999999988,6569,5,14.771494,20.414506,5.643012,51.295834,55.529053,4.233219,34.708009,41.430252,6.722243,0.0968,0.0968,0.0,0.0,0.011424,0.011424,0.020928,0.11056,0.089632,16.69953,5673121526,0.080704,452755,0.014848,2699,16.603978,5672666072,0.0,94.739121,10
after_traced,1,9,30077512575,30220822939,344233475047424,143.310364,101.078788,101.190596,117.787982,25.522381999999993,6569,5,14.95767,20.606347,5.648677,51.314012,55.545309,4.231297,34.686914,41.417126,6.730212,0.098688,0.098688,0.0,0.0,0.011392,0.011392,0.021504,0.10912,0.087616,16.709194,5673121526,0.078432,452755,0.015136,2699,16.615626,5672666072,0.0,95.796206,10
