batch_size,kernel_key,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,samples,stage_rejected
1,loop_convert_fusion,"(30976, 1, 1)","(128, 1, 1)",0,0,0.139296,22.09,0.0,93.0,677.68527452332,44.13,33.53,89.49,100.0,35.0,1024.0,17.0,684.21663220767,27.25,10.79,0.3,0.23,77.37,22.63,0.0,0.05,0.05,0.51,0.09,0.01,44.82,0.06,0.0,0.01,0.0,0.06,0.34,1.0,0.23,0.0,0.0,0.4,vlm_prefill,24.831494,180.0,1,
1,loop_convert_fusion_1,"(3872, 1, 1)","(128, 1, 1)",0,0,0.024416,5.235,0.0,85.35,620.97290974208,35.7,25.585,82.59,100.0,18.0,1024.0,17.0,655.0453256379201,23.395,9.98,0.07,0.06,94.295,5.705,0.0,0.18,0.09,0.63,2.2199999999999998,0.325,167.465,0.16,0.0,0.095,0.0,0.37,0.20500000000000002,1.0,0.685,0.0,0.0,1.08,vlm_prefill,3.799541,180.0,2,
1,loop_convert_fusion_10,"(576, 1, 1)","(128, 1, 1)",0,0,0.005216,5.82,0.0,38.74,280.49079754601,20.69,57.76,43.03,100.0,20.0,1024.0,17.0,560.77914110429,23.91,5.25,0.11,0.06,93.92,6.08,0.0,0.18,0.57,0.69,13.02,0.59,63.79,0.6,0.0,0.23,0.01,1.22,0.83,1.0,0.91,0.0,0.0,1.62,vlm_embed,2.44708,810.0,1,
1,loop_convert_fusion_2,"(320, 1, 1)","(128, 1, 1)",0,0,0.003104,5.07,0.0,7.85,56.329896907220004,4.15,51.52,27.12,100.0,16.0,1024.0,17.0,111.85567010309,13.72,3.25,0.14,0.11,88.73,11.27,0.0,0.14,0.13,0.36,12.19,0.04,11.47,0.05,0.0,0.0,0.02,0.8,0.21,1.0,0.7,0.0,0.0,1.93,action,2.986488,1800.0,1,
1,loop_convert_fusion_23,"(80, 1, 1)","(128, 1, 1)",0,0,0.002944,0.75,0.0,2.2,15.782608695650001,1.99,69.95,8.16,100.0,16.0,1024.0,17.0,53.60869565217,10.61,0.96,0.02,0.02,98.39,1.61,0.0,0.3,0.07,0.78,31.21,0.0,23.18,0.0,0.0,0.0,0.0,2.25,0.0,1.0,0.78,0.0,0.0,1.41,action,0.143393,100.0,1,
1,loop_convert_fusion_24,"(576, 1, 1)","(128, 1, 1)",0,0,0.0066879999999999995,12.84,0.0,53.64,389.62679425837,22.83,56.86,42.69,100.0,32.0,1024.0,17.0,619.35885167464,22.54,5.05,0.24,0.17,82.54,17.46,0.0,0.05,0.22,0.21,3.8,1.19,20.29,0.3,0.0,0.01,0.0,0.36,0.39,1.0,0.27,0.0,0.0,0.87,vlm_mixed,0.028736,10.0,1,
1,loop_convert_fusion_3,"(80, 1, 1)","(128, 1, 1)",0,0,0.003232,1.3,0.0,2.95,21.50495049505,2.38,66.58,8.26,100.0,16.0,1024.0,17.0,64.76237623762,19.63,1.03,0.02,0.02,98.03,1.97,0.0,0.18,0.0,0.47,19.91,0.0,25.05,0.01,0.0,0.0,0.0,1.46,0.0,1.0,0.47,0.0,0.0,2.02,action,4.325756,1800.0,1,
1,loop_convert_fusion_4,"(80, 1, 1)","(128, 1, 1)",0,0,0.003392,3.0,0.0,13.8,99.96226415094002,5.57,34.5,8.27,100.0,28.0,1024.0,17.0,151.77358490566002,4.23,1.09,0.03,0.03,96.82,3.18,0.0,0.1,0.06,0.25,10.77,0.3,16.18,0.0,0.0,0.0,0.01,0.78,0.0,1.0,0.25,0.0,0.0,1.79,action,3.441234,1800.0,1,
1,loop_convert_fusion_5,"(2152, 1, 1)","(128, 1, 1)",0,0,0.00752,36.51,0.0,60.53,439.1829787234,25.48,57.13,73.96,100.0,31.0,1024.0,17.0,690.54893617021,57.4,8.92,1.8,0.52,48.49,51.51,0.0,0.05,0.16,0.17,1.1,0.02,10.76,0.73,0.0,0.03,0.0,0.14,2.37,1.0,0.25,0.0,0.0,0.66,vlm_embed,3.703515,810.0,1,
1,loop_convert_fusion_6,"(576, 1, 1)","(128, 1, 1)",0,0,0.0042239999999999995,9.08,0.0,21.33,155.51515151515,15.32,63.31,45.74,100.0,24.0,1024.0,17.0,418.0303030303,38.26,5.75,0.26,0.16,84.38,15.62,0.0,0.09,0.27,0.31,7.43,0.2,23.61,0.41,0.0,0.15,0.01,0.63,0.56,1.0,0.7,0.0,0.0,1.63,vlm_embed,2.279565,810.0,1,
